"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"filterSeq",0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.9,1.9,8,4.9,2.9
"filterSpec",0,2,2,2,2,3,8,2,2,3,2,2,2
"filterTaxCov",0,0,0.01,0.02,0.05,0,0,0,0,0,0,0,0
"numbCells",340,340,233,185,100,257,117,340,167,257,32,111,256
"propCells",0.9827,0.9827,0.6734,0.5347,0.289,0.7428,0.3382,0.9827,0.4827,0.7428,0.0925,0.3208,0.7399
"temperature",0.1521,0.1521,0.0848,0.0496,-0.0104,0.1244,0.1322,0.1521,0.0707,0.1244,-0.1295,0.0446,0.1609
"slopeAvg",-0.2231,-0.2231,-0.1967,-0.1771,-0.1108,-0.1989,-0.165,-0.2231,-0.1465,-0.1989,0.0217,-0.0621,-0.1645
"regions",0.1181,0.1181,0.0974,0.1318,0.1729,0.1449,0.0892,0.1181,0.2088,0.1449,0.3721,0.248,0.1615
"autocor",0.2359,0.2359,0.246,0.2365,0.2153,0.2019,0.1111,0.2263,0.1637,0.2019,0.1852,0.2829,0.1982
"ajustedRsquare",0.1931,0.1931,0.2013,0.2072,0.2117,0.2336,0.2263,0.1885,0.1891,0.2336,0.2383,0.268,0.2096
"corrGDrichness",0.3668,0.3668,0.113,0.1206,0.1865,0.4123,0.4214,0.3668,0.4153,0.4123,0.415,0.3761,0.4318
"corrGDrichnessPvalue",0.0131,0.0131,0.301,0.2742,0.1285,0.0112,0.0049,0.0131,0.0265,0.0112,0.185,0.1219,0.014
"neighbourhoodRadius",3000,3000,3000,3000,3000,3000,5000,5000,5000,3000,5000,5000,3000
"temperaturePvalue",0.0108,0.0108,0.1871,0.4954,0.9133,0.0407,0.066,0.011,0.3993,0.0407,0.3913,0.6288,0.0134
"temperatureDiff",0.1316,0.1316,-0.3695,-0.6308,-1.0773,-0.0746,-0.0168,0.1316,-0.4741,-0.0746,-1.9632,-0.668,0.1966
"regionsPvalue",0,0,0.0037,0.0022,0.0033,0,0.0024,0,0,0,0.0021,0,0
"regionsDiff",-0.0256,-0.0256,-0.1962,0.0881,0.4267,0.1963,-0.264,-0.0256,0.7236,0.1963,2.0709,1.0467,0.3333
"autocorPvalue",0,0,0,1e-04,0.0099,0,0.0378,0,0.0208,0,0.2071,6e-04,2e-04
"autocorDiff",-0.0056,-0.0056,0.0369,-0.0034,-0.0926,-0.1492,-0.5318,-0.0463,-0.3102,-0.1492,-0.2197,0.1925,-0.1647
"ajustedRsquareDiff",-0.0053,-0.0053,0.0369,0.0673,0.0907,0.2037,0.166,-0.029,-0.026,0.2037,0.2279,0.3808,0.0798
"slopeAvgPvalue",0,0,3e-04,0.0061,0.2265,1e-04,0.0038,0,0.052,1e-04,0.9002,0.463,0.0041
"slopeAvgDiff",-0.0121,-0.0121,-0.1292,-0.2157,-0.5096,-0.1195,-0.2693,-0.0121,-0.3511,-0.1195,-1.096,-0.7251,-0.2717
